Prefix,Code,Name,Lecture Hours:,Lab Hours:,Credit Hours:,Description (Rendered no HTML)
ACC,435,Auditing,4,0,4,"Introduction to auditing concepts and practices. Topics include professional standards, audit planning and procedures, ethical considerations, internal controls, professional responsibilities, the acquisition and evaluation of audit evidence, and report writing. "
ACC,496,Senior Project,3,0,3,"Development and implementation of an accounting related project for the benefit of an external entity and the student. Projects will include a proposal, analysis, design, and implementation. An oral presentation and project documentation will be required at the completion of each course. "
ACC,497,Senior Project,3,0,3,"Development and implementation of an accounting related project for the benefit of an external entity and the student. Projects will include a proposal, analysis, design and implementation. An oral presentation and project documentation will be required at the completion of each course. "
AHED,107,Seminar,0,0,12,(Hours to be arranged each term.) 
AHED,207,Seminar,0,0,12,(Hours to be arranged each term.) 
AHED,307,Seminar,0,0,12,(Hours to be arranged each term.) 
AHED,407,Seminar,0,0,12,(Hours to be arranged each term.) 
AHED,450,Instructional Methods,3,0,3,"Students develop instructional content and an instructional plan for teaching topics for adult learners. Teaching methods, learning styles, student and instructor evaluation, and use of media will be discussed. "
AHED,451,Instructional Experience,2,3,3,"Students create and structure their own instructional experience, participate in a clinical or laboratory setting as a supervising instructor, present a didactic unit using visual aids. "
AHED,460,Fund of Distance Education,3,0,3,"Students learn the fundamentals of online teaching and learning. Lesson plan developed in AHED 450 will be finalized as an online module. Synchronous vs. asynchronous learning, instructional design and course management as it relates to online instruction will be discussed. "
ALH,505,Intro to IT for Hlth Care Pros,1,0,1,Students will get an introduction to information technology (IT) as it applies to healthcare and in learning IT tools for success in online education. 
ALH,510,The Science of Evidence-Based Medicine,3,0,3,"Modern health practices often claim that they are ""evidence based"", but sometimes the quality of the evidence isn't as good as one would hope. This course looks at a variety of medical and health issues and evaluates the reliability of the evidence. Topics include menopausal hormone replacement therapy, screening for breast, prostate, thyroid and colon cancer, and nutritional/dietary recommendations. "
ALH,515,Scientific Writing & Healthcare,3,0,3,"A large focus of this class is in reading and interpreting scholarly literature related to healthcare leadership. In addition, students will be learning to write using instructor led professional and scientific methods. "
ALH,525,Effective Healthcare Ldshp.,3,0,3,The students will explore best practices in team leadership including theam theories and safety concerns as they apply to healthcare. Real life case examples will be taught and the students will be able to practice their team leadership skills to learn how to effectively lead healthcare teams. 
ALH,535,Assmt. Plan. Imp. and Eval.,3,0,3,"Focus is teaching students to assess needs, plan effectively, implement changes and evaluate their own success in a healthcare setting. Prerequsite: Admission to the MSAH program "
ALH,545,Pertinent Ethical & Legal Cons,3,0,3,"Common real-life healthcare ethical cases will be presented and discussed in this class with a focus on the role of a healthcare leader in handling difficult ethical situations. Healthcare legalities will be introduced to help with liability and malpractice, etc. "
ALH,555,Leadership Theory for HC Ldrs.,3,0,3,"A wide range of scholarly leadership theories will be discussed, ranging from military leadership models to Gardiner's Servant Leadership Model. Students will self-assess to evaluate their own leadership and communication styles along with their own power and influence styles. These research based leadership theories will be applied to healthcare leadership and best practices. "
ALH,565,Population Health Issues for Allied Health Professionals,3,0,3,Population health issues and needs will be discussed in all aspects particularly as it applied to healthcare leadership. 
ALH,575,Methods of Research for Allied Health Professionals,3,0,3,"The various types of healthcare research will be discussed including qualitative, quantiative, and mixed methods. Students will design their own research project that will include data collection and analysis, with particular attention given to the planning process of the research and choosing appropriate methodology. Prerequsite: Admission to the MS MAH program "
ALH,585,Financial Consid. & Pol. Strat,3,0,3,Students will be introduced to best practices in healthcare finances including health care policies and funding sources. The emphasis will be to teach students how to incorporate successful financial models into their own healthcare organizations. Discussions will take place to include the best practices in using political models and stratagies related to demand and supply within healthcare settings. Prerequsite: Admission to MS MAH program 
ALH,595,Curriculum Design for AHP,3,0,3,Creating the best healthcare curriculum that ensures the best practices and student outcome will be emphasized. How to manage healthcare curriculum with consideration to needs assessment and program specific accreditation standards will be discussed. 
ALH,506,Program Administration,3,0,3,"The roles, responsibilities and functions of administrators in healthcare and educational environments. "
ALH,508,Medical Ed. Theories & Methods,3,0,3,"Instructional methods for allied health educators. Emphasis on lesson plan design to meet learning style needs of adult learners. Learning objectives, active teaching strategies, traditional and non-traditional assessment, and evaluation are addressed for teaching in an on-campus or online environment. "
ALH,509,Masters Capstone Project,6,0,6,"The capstone project is designed as a culminating clinical experience and provides an alternative to the thesis option. The student must present a formal capstone project plan prior to beginning the project to his/her graduate committee. Upon completion of the experience, the student will provide a written evaluation of the project. The student will also preform an oral presentation and oral defense to his/her committee. "
ANTH,101,Intro to Physical Anthropology,3,0,3,"An introduction to physical anthropology, emphasizing man's place in the animal kingdom, evolution of man, fossil hominid forms, Paleolithic cultures, and principles of genetics. Satisfies either a science elective or a social science elective. "
ANTH,102,Intro to Archaeology,3,0,3,Survey of the science of archaeology. Covers the biological and social evolution of the human species with emphasis on the growth of human populations and social complexity. Relates site-specific evidence to theories of social change. Discusses field and laboratory methods of archaeology. 
ANTH,103,Intro to Cultural Anthropology,3,0,3,"Culture, language, subsistence patterns, group formation, kinship, economic systems, political organizations, religion, and cultural change. "
ANTH,107,Seminar,0,0,12,(Hours to be arranged each term.) 
ANTH,207,Seminar,6,0,6,(Hours to be arranged each term.) 
ANTH,307,Seminar,0,0,12,(Hours to be arranged each term.) 
ANTH,407,Seminar,6,0,6,(Hours to be arranged each term.) 
ANTH,452,Globalization,3,0,3,"Addresses what globalization is and how it developed and spread. Benefits and harms of globalization in the areas of work, culture, warfare, national sovereignty, health, and food. Countervailing pressures from social movements will be examined. "
ART,107,Seminar,15,15,15,(Hours to be arranged each term.) 
ART,207,Seminar,6,0,6,(Hours to be arranged each term.) 
ART,307,Seminar,15,15,15,(Hours to be arranged each term.) 
ART,407,Seminar,6,0,6,(Hours to be arranged each term.) 
ART,205,Introduction to Watercolors,3,0,3,Introductory studio course in beginning watercolor painting. Students will learn a variety of watercolor techniques as well as elements of design and aesthetics. 
ART,220,Basic Drawing,3,0,3,"Designed for the student who has an interest in exploring the field of pictorial representation but has had, for a variety of reasons, little opportunity to do so. "
ART,226,Digital Photography,3,0,3,"Studio course in digital photography, studying and producing photographs. Focus on digital exposures, color, location, Photoshop techniques and issues in photography. Students must have the use of a digital SLR camera or a digital camera with manual settings. "
ART,282,Intro to Acrylic Painting,3,0,3,Introductory studio course with emphasis on basic materials and techniques in acrylic painting. 
ART,215,Design Arts and Aesthetics,3,0,3,"Students learn how to think like designers through critical analysis of design principles, enabling them to differentiate between good and bad design as well as how to influence perception, increase appeal, and problem solve when designing. "
ART,315,Design Thinking,3,0,3,"Students learn how to collaborate and tackle complex problems through creative design strategies, and develop an ability to define the problem, increase empathy, ideate and pitch their idea. "
BA,211Z,Principles of Financial Accounting I,4,0,4,"Imparts an understanding of the purpose of accounting, common financial statement items, and the principles of internal controls. Focuses on recording the impact of economic events on account balances using U.S. Generally Accepted Accounting Principles, and the creation and analysis of financial statements to aid in external decision making. "
BA,212,Prin of Accounting II,4,0,4,A continuation of BA 211Z with emphasis on corporate accounting. 
BA,213Z,Principles of Managerial Accounting,4,0,4,"Builds an understanding of the role of managerial accounting in a business, focusing on the development and use of information to evaluate production costs and operational performance in support of short- and long-term organizational decision-making. "
BA,101Z,Introduction to Business,4,0,4,"Presents an integrated view of both established and entrepreneurial businesses by studying their common characteristics and processes in a global context. Introduces theory and develops basic skills in the areas of accounting, finance, management, and marketing, with an emphasis on social responsibility and ethical practices. Explores how businesses can create value for themselves and society by addressing environmental and social challenges. "
BIO,101,Intro to Cell Biology,3,3,4,"Introduction to cell biology, genetics, basic chemistry of living organisms, and the scientific method. "
BIO,102,Diversity of Life,3,3,4,"Evolution and phylogenetics among all major groups of living organisms, including bacteria, protists, fungi, plants and animals. "
BIO,103,Intro to Human Anat & Phys,3,3,4,"Basic human anatomy and physiology, including a survey of all major bodily systems. (Cannot be used for graduation credit by students who have taken BIO 231, BIO 232, and BIO 233). "
BIO,105,Microbiology,3,3,4,"Classification, morphology, reproduction, transmission, and control of micro-organisms causing disease in man. Laboratory practice in culturing methods, microscopic observation, and physical and chemical control. "
BIO,107,Seminar,15,15,15,(Hours to be arranged each term.) 
BIO,207,Seminar,6,6,6,(Hours to be arranged each term.) 
BIO,307,Seminar,15,15,15,(Hours to be arranged each term.) 
BIO,407,Seminar,15,15,15,(Hours to be arranged each term.) 
BIO,109,Intro to Medical Sciences,1,2,2,"Survey of medical and health-related occupations, including biomedical sciences. Discussion of health care structure, private and public entities, the research community, and trends in health education and practice. "
BIO,135,Prep for Human A&P,1,0,1,Study techniques for a science course are explored using examples of Human Anatomy and Physiology. 
BIO,200,Medical Terminology,2,0,2,"Basic structure of medical works including prefixes, suffixes, roots and combining forms. Correct spelling, pronunciation, and meaning of terms are stressed. "
BIO,205,Nutrition,3,0,3,"A study of the relationships of food and nutrition to health. An overview of the basic nutrition principles including the nutrients and how they function in the body, nutrient requirements, diet planning, and energy balance. Current topics and controversies are examined. "
BIO,209,Current Research Tpc Med Sci I,1,0,1,"Introduces students to topics in medicine focusing on global health issues, infectious and chronic diseases. Projects in medical literature research, understanding scientific paper format, preparing techinical presentations and public speaking. "
BIO,211,Principles of Biology,3,3,4,"Principles of modern biology emphasizing form and function of multicellular plants, major invertebrate phyla, and general vertebrate morphology and physiology. "
BIO,212,Principles of Biology,3,3,4,"Principles of modern biology emphasizing evolution, ecology, population genetics, and behavior of organisms. "
BIO,213,Principles of Biology,3,3,4,"Principles of modern biology emphasizing the biochemical basis for life processes, cell structure, and function. Molecular genetics, cell reproduction, metabolism, and form and function of microorganisms. "
BIO,216,Intro to Veterinary Medicine,3,3,4,"Covers many aspects of animal health care and their impact society. Discussions cover husbandry, anatomy, preventive medicine, common diseases and behavioral problems of dogs, cats, horses and exotics. Some hands-on work with dogs, horses, and wildlife is included. "
BIO,220,Cardiovascular Physiology,3,3,4,"Application of principles of fluid dynamics to the human vascular system. Detailed considerations of cardiac function and its regulation, analysis of flow in arterial, venous and capillary systems, and integration of cardiovascular regulation. "
BIO,226,Intro to Wildlife Rehab,3,0,3,"Principles of wildlife rehabilitation including state and federal laws, medical terminology, basic anatomy, natural history and diet, form and function, and euthanasia. Field captures, basic restraint, first aid, minimum housing requirements, and zoonotic diseases are also included. "
BIO,227,Intro to Forensic Science,3,3,4,"An entry level course exploring the methodologies and procedures utilized by crime scene investigators and forensic laboratories. Emphasis on crime scene investigation, recognition, documentation, and collecting of physical evidence. Laboratory exercises provide hands-on opportunities supplementing lecture topics. "
BIO,231,Human Anatomy/Physiology I,3,3,4,"Introduction to the systematic studies of human anatomy and physiology. Introduction to cytology and histology followed by the integumentary, skeletal, muscular and endocrine systems and the physiology of excitable tissues. The laboratory sessions emphasize human anatomy using models and human cadavers. "
BIO,232,Human Anatomy/Physiology II,3,3,4,"A continuation of the systematic study of human anatomy and physiology. The nervous, cardiovascular and immune systems are studied. The laboratory sessions emphasize human anatomy using models and human cadavers. Dissections and physiological experiments are conducted. "
BIO,233,Human Anatomy/Physiology III,3,3,4,"Conclusion of the sequence in human anatomy and physiology. Digestive, respiratory, renal and reproductive systems are examined. Metabolism, human genetics and development are also studied. Laboratory sessions emphasize physiological experiments and human anatomy using models and human cadavers. "
BIO,235,Human Genetics,3,0,3,"Genetic concepts using human examples, including the molecular and cellular basis of inheritance, patterns of inheritance, basic pedigree analysis, mutation, single-gene and polygenic diseases, and an introduction to genetic biotechnology. "
BIO,247,Forensic Anthropology,3,3,4,The morphological characteristics unique to the human skeleton that are used in establishing population demographics will be discussed and demonstrated. The laboratories are designed as hands-on experience applying the methodologies as presented in the lecture session. 
BIO,313,Botany and Plant Taxonomy,2,6,4,"Introduction to classification and identification of vascular plants, emphasizing major plant families in California and Oregon; field and herbarium techniques. Weekend field trips required. "
BIO,331,Human Anatomy/Physiology I,3,6,5,"An in-depth systematic study of human anatomy and physiology of the integumentary, skeletal, and muscular systems. Laboratories include histology, examination of human bones, cadaver dissection, computer-aided physiology studies and other hands-on activites. "
BIO,332,Human Anatomy/Physiology II,3,6,5,"An in-depth systematic study of human anatomy and physiology of nervous, endocrine and cardiovascular systems. Laboratories will include histology, cadaver dissection, computer-aided physiology studies, and other hands-on activites. "
BIO,333,Human Anatomy/Physiology III,3,6,5,"An in-depth systematic study of human anatomy and physiology of the lymphatic, respiratory, digestive, urinary and reproductive systems and an overview of embryology. Laboratories will include histology, cadaver dissection, computer-aided physiology studies, and other hands-on activities. "
BIO,335,Cross-Sectional Anatomy,3,0,3,"Cross-sectional anatomy correlated with computer tomography, ultrasonography, and magnetic resonance imaging. "
BIO,336,Essentials of Pathophysiology,3,0,3,"Study of dynamic aspects of disease process with emphasis on abnormal physiology. Detailed discussion of cellular alterations, normal immunology, neoplasia, inflammation, and alterations of the respiratory and skeletal systems, and Diabetes Mellitus. "
BIO,337,Aquatic Ecology,3,3,4,"Lotic and lentic ecosystems, hydrologic principles, processes and patterns of development, abiotic-bitoic interactions, aquatic organisms and trophic structures, nutrient cycles and eutrophication, effects of disturbance, bioassessment techniques, management and restoration case studies. "
BIO,341,Medical Genetics,3,0,3,"Principles of heredity, chromosome mechanisms and molecular genetics applied to disease processes in humans. Review of case histories of selected inherited disorders. Discussion of genetic intervention therapies. "
BIO,443,Cell Biology,3,3,4,"Organelle organization, protein sorting, cell signaling, cytoskeletal functions, cell division mechanics, and cell interactions in development and aging. "
BIO,345,Medical Microbiology,4,3,5,"Mechanisms of pathogenicity and virulence relating to disease-causing viruses, bacteria, fungi, and other microorganisms. Host-parasite relationships and immunology, microbial physiology and genetics. Laboratory procedures and identification of selected bacteria and parasites. "
BIO,346,Pathophysiology I,3,0,3,"Study of the dynamic aspects of the disease process with emphasis on abnormal physiology. Detailed discussion of cellular alterations, normal and abnormal immunology, neoplasia, inflammation, arteriosclerosis, hypertension, cardiac and vascular diseases. "
BIO,347,Pathophysiology II,3,0,3,"Study of the dynamic aspects of the disease process with emphasis on abnormal physiology. Detailed discussion of alterations of respiratory function, liver and digestive system, neurologic, urinary, musculoskeletal disorders, and Diabetes Mellitus. "
BIO,352,Developmental Biology,3,3,4,"This course will explore the developmental processes of selected invertebrate and vertebrate groups. The event of gametogenesis, fertilization, gastrulation, neurulation, and post-embryonic development will be discussed. The role of differential gene expression in developmental pathways will be covered. "
BIO,357,Intro to Neuroscience,3,0,3,"This is an introductory course covering the organization and function of the human nervous system to build a foundation of general knowledge in a neurobiology of such topics as sensory/motor systems, the brain and behaviours, the biological basis of brain development, and learning of memory. "
BIO,375,Cross Sectional Anatomy II,3,0,3,"Continuation of cross section anatomy not including in BIO 335. This course covers MR images of the joints of the wrist, elbow, shoulder, ankle, knee, hip, thorax, spine and arterial system form the arch of the aorta to the Circle of Willis, as demonstrated by MRA. "
BIO,409,Crnt Rsch Tpcs in Med Sci II,2,0,2,"A continuation of BIO 209 covering topics in medicine focusing on global health issues, infectious and chronic diseases. Projects in medical literature research, understanding scientific paper format, preparing techinical papers and presentations, and public speaking. "
BIO,426,Evolutionary Biology,3,0,3,"Principles of evolutionary science, including speciation, biogeography, biodiversity, population genetics, natural selection and coevolution. "
BIO,436,Immunology,3,3,4,"Cellular and humoral immunology including innate immunity, acquired immunity, antibodies, anatomy of immune response, production of effectors, adversarial strategies during infection, immunodeficiency, and transplantation. "
BIO,461,Human Cadaver Dissection,0,3,1,"Study of human anatomy utilizing cadaver dissection. Attention will be given to three-dimentional relationships of structures, appreciation of textural differences, and development of palpation skills. Recognition of pathologic abnormalities and individual variations will be investigated. "
BIO,462,Human Cadaver Dissection,0,3,1,"Study of human anatomy utilizing cadaver dissection. Attention will be give to three-dimentional relationships of structures, appreciation of textural differences, and development of palpation skills. Recognition of pathologic abnormalities and individual variations will be investigated. "
BIO,366,Zoology,3,3,4,"Organismal and integrative approach to the study of animal functional morphology, ecological physiology, behavior and interactions, development and evolution. "
BIO,417,Plant Ecology,3,3,4,"Overview of plant ecology including physiology, populations, communities, and ecosystems. Some topics covered are unique to plants, such as photosynthesis, and other topics, not necessarily unique to plants, emphasize the distinctive ways that plants deal with their environments. Weekend field trip required. "
BIO,377,Wildlife Ecology and Management,3,3,4,"Fundamental concepts and applied methods in the study of wildlife populations. Focus on study design, habitat, and animal movements. Develop skills in wildlife data analysis, animal capture, marking and remote tracking. "
BIO,386,Ornithology,3,3,4,"Introduction to avian evolution, biology, ecology, and behavior with lab emphasis on the avian field studies and identification of birds Oregon and the Klamath region and skills and concepts for careers in wildlife and natural resources. "
BIO,446,Pathophysiology I,3,0,3,"Study of the dynamic aspects of the disease process with emphasis on abnormal physiology. Detailed discussion of cellular alterations, normal and abnormal immunology, neoplasia, inflammation, arteriosclerosis, hypertension, cardiac and vascular diseases. "
BIO,434,Data Analysis Methods,3,3,4,"Fundamental principles of data analysis from field projects, data archives, and other sources. Analysis of variance, hypothesis testing, random processes. Regression and times series analysis. Discussion and practice of data visualization and presentation techniques. "
BIO,495,Research Project in Biology,0,0,Varies (1-4),Supports student-initiated research projects in biological sciences. Topic and scope must be reviewed and accepted by a faculty advisor. May be repeated for up to nine total credits. 
BIO,435,Exercise Physiology,3,0,3,"Physiological response to single bouts of exercise and longer term training, considering resistance and aerobic exercise effects on metabolism, skeletal muscle, the cardiovascular system, and the respiratory system. Additional applications of exercise and training in performance and human health. "
BIO,326,Parasitology,3,3,4,"Parasitic infections of humans and animals (especially by protozoa and helminths). The course will cover parasite taxonomy, life cylces, epidemiology, clinical features, laboratory diagnosis, treatment and prevention. Students will practice various diagnostic techniques in the laboratory. "
BIO,354,Environmental Health,3,0,3,"A multidisciplinary exploration of Environmental Health across scales from local to global including the history of public health and infrastructure and linkages between air and water quality, environmental psychology, environmental justice, epidemiology, toxicology, food production, waste, genetics, and climate change. "
BIO,369,Mammalogy,3,3,4,"This course examines the evolution, biogeography, systematics, anatomy, physiology, and ecology of mammals with an emphasis on species native to North America. Weekly laboratory sessions will focus on the identification, observation, and sampling of mammals in the field using techniques applicable to several professions including wildlife management and research. "
BIO,445,Comparative Virology,3,,3,"This course will explore the viral domain, and compare strategies that different
viruses employ during their ""life"" cycle. Learn about mechanisms of infection and
transmission utilized by different families of human viruses, and how these compare to
examples of bacteriophage, plant viruses and insect viruses. The emphasis will be on those
""abnormal"" aspects of the molecular and cellular biology of viruses, not necessarily the
clinical presentation of disease. "
BIO,427,Special Topics in Neuroscience,1,,1,"This course provides graduate students with an opportunity to explore, in depth, a variety of contemporary topics in neuroscience. Lectures will present background material and address current problems in the area related to the topic. Students will read and discuss review articles and current literature on the topic. This course also consists of exciting anatomical dissections of the brain and spinal cord. "
BIO,441,Genetic Engineering & Gene Therapy,3,,3,"Current topics in genetic engineering and gene therapy, explored via selected readings from primary and secondary literature. "
BIO,255,Sophomore Research Class,1,,1,"This research course is the first in a series of three. Students will learn skills needed to succeed in science through exploration of research opportunities, developing a research project, and ultimately finding funding for their research.This course is for science majors requires submission of a written proposal for the research they will do based on critical evaluation of scientific literature. Students will also learn how scientists work (the scientific process), so that they can look at a problem objectively, and make relevant decisions concerning biological issues. 

  "
BIO,355,Junior Research Class,1,,1,"This research course is the second in a series of three. Students will learn skills needed to succeed in science through exploration of research opportunities, developing a research project, and ultimately finding funding for their research. In the first course they developed research and wrote a proposal. This upper division course will be focused on performing the research that was developed in the first course via the proposal.  Students will continue to learn how scientists work (the scientific process), so that they can look at a problem objectively, and make relevant decisions concerning biological issues. "
BIO,455,Senior Research Class,1,,1,"This research course is the third in a series of three. Students will learn skills needed to succeed in science through exploration of research opportunities, developing a research project, and ultimately publishing their research. In the second course they did the research and collected data. This upper division course will be focused on finishing data collection, data analysis and finally presenting and publishing the research.Students will continue to learn how scientists work (the scientific process), so that they can look at a problem objectively, and make relevant decisions concerning biological issues. "
BIO,428,Fisheries,3,3,4,"This course will provide an overview to the structure and functioning of freshwater and marine aquatic ecosystems, and acquaint students with the basic biology and field techniques required to successfully manage fish populations. In addition, this course will expose students to a number of challenges facing aquatic ecosystems, and will provide an opportunity to discuss activities, approaches and strategies that can be used to solve these challenges. While many examples and scenarios discussed will be based on local/regional issues, the course will emphasize a global perspective to aquatic conservation issues and how regional differences in problems and solutions exist. Emphasis will be placed on the importance of using sound science to generate successful management strategies. "
BIO,467,BioMedical Devices,3,0,3,"Exploration of pathophysiology, design thinking and how they have been applied to restore bodily functions. Topics covered include the cardiovascular system, bones, brain, eyes, ears, and skin. "
BIO,301,International Study Experience in Ecology & Sustainability (ISEES) I,3,,3,"  

In this course students will experience and learn about the ecology, culture, and history of Iceland and Scandinavia as well as economic, technological, and management advancements toward sustainability.  "
BIO,302,International Study Experience in Ecology & Sustainability (ISEES) II,3,,,"  

In this course students will experience and learn about the ecology, culture, and history of Iceland and Scandinavia as well as economic, technological, and management advancements toward sustainability.  "
